tv_show,season_num,season_url,episode_num,episode_url,episode_title,air_date
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,1,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Pilot,Pilot,2007-09-19
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,2,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Wild_Brunch,The Wild Brunch,2007-09-26
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,3,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Poison_Ivy,Poison Ivy,2007-10-03
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,4,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Bad_News_Blair,Bad News Blair,2007-10-10
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,5,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Dare_Devil,Dare Devil,2007-10-17
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,6,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Handmaiden%27s_Tale,The Handmaiden's Tale,2007-10-24
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,7,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Victor_Victrola,Victor Victrola,2007-11-07
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,8,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Seventeen_Candles,Seventeen Candles,2007-11-14
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,9,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Blair_Waldorf_Must_Pie,Blair Waldorf Must Pie,2007-11-28
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,10,"https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Hi,_Society","Hi, Society",2007-12-05
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,11,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Roman_Holiday,Roman Holiday,2007-12-19
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,12,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/School_Lies,School Lies,2008-01-02
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,13,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/A_Thin_Line_Between_Chuck_and_Nate,A Thin Line Between Chuck and Nate,2008-01-09
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,14,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Blair_Bitch_Project,The Blair Bitch Project,2008-04-21
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,15,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Desperately_Seeking_Serena,Desperately Seeking Serena,2008-04-28
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,16,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/All_About_My_Brother,All About My Brother,2008-05-05
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,17,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Woman_on_the_Verge,Woman on the Verge,2008-05-12
Gossip Girl Wiki | Fandom,1,https://gossipgirl.fandom.com/wiki/Season_1,18,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Much_%27I_Do%27_About_Nothing,Much 'I Do' About Nothing,2008-05-19
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,1,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Summer_Kind_of_Wonderful,Summer Kind of Wonderful,2008-09-01
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,2,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Never_Been_Marcused,Never Been Marcused,2008-09-08
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,3,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Dark_Night,The Dark Night,2008-09-15
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,4,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Ex-Files,The Ex-Files,2008-09-22
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,5,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Serena_Also_Rises,The Serena Also Rises,2008-09-29
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,6,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/New_Haven_Can_Wait,New Haven Can Wait,2008-10-13
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,7,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Chuck_in_Real_Life,Chuck in Real Life,2008-10-20
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,8,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Pret-a-Poor-J,Pret-a-Poor-J,2008-10-27
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,9,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/There_Might_be_Blood,There Might be Blood,2008-11-03
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,10,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Bonfire_of_the_Vanity,Bonfire of the Vanity,2008-11-10
Gossip Girl Wiki | Fandom,2,https://gossipgirl.fandom.com/wiki/Season_2,11,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Magnificent_Archibalds,The Magnificent Archibalds,2008-11-17
