tv_show,season_num,paragraph_id,link_title,link_url
Gossip Girl Wiki | Fandom,1,1,Gossip Girl,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gossip_Girl_(TV_series)
Gossip Girl Wiki | Fandom,1,1,Cecily von Ziegesar,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Cecily_von_Ziegesar
Gossip Girl Wiki | Fandom,2,1,Gossip Girl,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gossip_Girl_(TV_series)
Gossip Girl Wiki | Fandom,2,1,Cecily von Ziegesar,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Cecily_von_Ziegesar
Gossip Girl Wiki | Fandom,2,2,Valley Girls,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Valley_Girls
Gossip Girl Wiki | Fandom,2,2,Lily van der Woodsen,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Lily_van_der_Woodsen
Gossip Girl Wiki | Fandom,2,2,Kelly Rutherford,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Kelly_Rutherford
Gossip Girl Wiki | Fandom,3,1,Gossip Girl,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gossip_Girl_(TV_series)
Gossip Girl Wiki | Fandom,3,1,Cecily von Ziegesar,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Cecily_von_Ziegesar
Gossip Girl Wiki | Fandom,4,1,Gossip Girl,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gossip_Girl_(TV_series)
Gossip Girl Wiki | Fandom,4,1,Cecily von Ziegesar,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Cecily_von_Ziegesar
Gossip Girl Wiki | Fandom,4,2,Season 1,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Season_1
Gossip Girl Wiki | Fandom,4,2,Jenny Humphrey,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Jenny_Humphrey
Gossip Girl Wiki | Fandom,4,2,Vanessa Abrams,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Vanessa_Abrams
Gossip Girl Wiki | Fandom,4,2,Eric van der Woodsen,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Eric_van_der_Woodsen
Gossip Girl Wiki | Fandom,4,13,Tim Gunn,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wikihttp://en.wikipedia.org/wiki/Tim_Gunn
Gossip Girl Wiki | Fandom,5,1,Gossip Girl,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gossip_Girl_(TV_series)
Gossip Girl Wiki | Fandom,5,1,book series,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gossip_Girl_(books)
Gossip Girl Wiki | Fandom,5,1,Cecily von Ziegesar,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Cecily_von_Ziegesar
Gossip Girl Wiki | Fandom,5,2,Kaylee DeFer,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Kaylee_DeFer
Gossip Girl Wiki | Fandom,5,2,Ivy Dickens,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Ivy_Dickens
Gossip Girl Wiki | Fandom,5,33,Blake Lively,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Blake_Lively
Gossip Girl Wiki | Fandom,5,33,Leighton Meester,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Leighton_Meester
Gossip Girl Wiki | Fandom,5,33,Penn Badgley,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Penn_Badgley
Gossip Girl Wiki | Fandom,5,33,Chace Crawford,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Chace_Crawford
Gossip Girl Wiki | Fandom,5,33,Ed Westwick,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Ed_Westwick
Gossip Girl Wiki | Fandom,5,33,Taylor Momsen,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Taylor_Momsen
Gossip Girl Wiki | Fandom,5,33,Jessica Szohr,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Jessica_Szohr
Gossip Girl Wiki | Fandom,6,1,Gossip Girl,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gossip_Girl_(TV_series)
Gossip Girl Wiki | Fandom,6,1,book series,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Gossip_Girl_(books)
Gossip Girl Wiki | Fandom,6,1,Cecily von Ziegesar,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Cecily_von_Ziegesar
